Multilingual	Al_Salman_Mubser2007, Sivasamy2013, Kumar2014, Perera2018, Ovodov2020, Kausar2021, Lu2022, Elaraby2024, Al_Salman2024, Meng2024
English	Al_Salman_Mubser2007, Sivasamy2013, Kumar2014, Taha2014, Subur2015, Murthy2018, Sugirtha2018, Perera2018, Gezahegn2019, Hsu2020, Shokat2020, LiYan2021, Kausar2021, Khanam2021, Revelli2022, Murthy2022, Lu2022, Waleed2023, Al_Salman2024, Elaraby2024, Kumar2025
European	Ovodov2020, Goncalves2020, Baumgärtner2020
Chinese	YinWangLi2010, Nian_Feng2011, Li2018, LiLiuWangXu2020, Ovodov2020, Kausar2021, Shao2022, Huang2024, Lu2022, Meng2024
Asian	Zhang2007, Sivasamy2013, Perera2018, DeSilva2018, Kamal2020, Al_Salman2024
Arabic	Al_Salman2007, Al_SalmanAl_Rajih2007, Al_Salman_Mubser2007, Al_Shamma2011, Zaghloul2011, Al_Salman2024, Elaraby2024
Indo-Aryan	Bhattacharya2011, Srinath2012, Srinath2013, Sivasamy2013, Kumar2014, Rupanagudi2014, Parvathi2015, Shreekanth2015, Shreekanth2018, Kaur2020, Pandian2020, Al_Salman2024, Bipin2025
Middle Eastern	Fahiem2008, Wajid2011, Iqbal2017
African	Hassen2012
Unspecified	Calders1986, Dubus1988, Nitta1989, Mennens1993, Mennens1994, Hentzschel1995, Ritchings1995, Hermida1996, Oyama1997, NgChakman1999, Yoshida2000, Gomez2001, Morgavi2002, Wong2004, Antonacopoulos2004, Falcon2005, Mihara2005, Namba2006, Murray2006, Tanaka2007, Tai2008, Al_Saleh2008, Abdelmonem2009, LiYanZhang2010, Al_Salman2010, Tai2010, Yousefi2011, Al_Saleh2011, Babadi2011, Al_Salman2012, Mousa2013, Al_Salman2014, LiZengXu2014, Ibrahim2018, Smelyakov2018, Shimomura2018, Schwarz2018, LiLiu2019, Ovodov2021, Alufaisan2021, Al_Salman2021, Yamin2022, Roque2022
