Grey-scaled	Calders1986, Dubus1988, Mennens1993, Mennens1994, Ritchings1995, NgChakman1999, Morgavi2002, Namba2006, Al_SalmanAl_Rajih2007, Tai2008, Al_Saleh2008, LiYanZhang2010, YinWangLi2010, Al_Saleh2011, Yousefi2011, Nian_Feng2011, Al_Shamma2011, Zaghloul2011, Wajid2011, Srinath2012, Al_Salman2012, Sivasamy2013, Mousa2013, Taha2014, Al_Salman2014, Rupanagudi2014, Kumar2014, LiZengXu2014, Subur2015, Parvathi2015, Smelyakov2018, Ibrahim2018, Shimomura2018, DeSilva2018, Shreekanth2018, Perera2018, Sugirtha2018, Schwarz2018, LiLiu2019, Kamal2020, Baumgärtner2020, Pandian2020, Kausar2021, Khanam2021, Revelli2022, Roque2022, Yamin2022, Murthy2022, Waleed2023
Local Preprocessing	Calders1986, Mennens1993, Mennens1994, Morgavi2002, Antonacopoulos2004, Murray2006, Zhang2007, Tanaka2007, Tai2010, YinWangLi2010, Schwarz2018, Baumgärtner2020, Al_Salman2024
Brightness adjustment	Mennens1993, Mennens1994, Murray2006, Abdelmonem2009, YinWangLi2010, Zaghloul2011, Babadi2011, Sivasamy2013, Mousa2013, Taha2014, DeSilva2018, Kamal2020, Baumgärtner2020
Smoothing filters	Dubus1988, NgChakman1999, YinWangLi2010, Al_Shamma2011, Zaghloul2011, Wajid2011, Babadi2011, Hassen2012, Sivasamy2013, Mousa2013, Taha2014, Parvathi2015, Li2018, Murthy2018, DeSilva2018, Shreekanth2018, Perera2018, Kaur2020, Kamal2020, Pandian2020, Khanam2021, Roque2022
Noise removal	Zhang2007, Al_Shamma2011, Hassen2012, Srinath2012, Perera2018, Sugirtha2018
Edge detection / enhancement	NgChakman1999, Tai2008, Abdelmonem2009, Tai2010, Al_Shamma2011, Wajid2011, Sivasamy2013, Murthy2018, Shreekanth2018, Ibrahim2018, Perera2018, Kaur2020, Baumgärtner2020, Roque2022
Dilation / Erosion	Dubus1988, Hentzschel1995, Falcon2005, Namba2006, Tai2010, Zaghloul2011, Sivasamy2013, Mousa2013, Taha2014, Rupanagudi2014, Kumar2014, Subur2015, Parvathi2015, Smelyakov2018, DeSilva2018, Shreekanth2018, Perera2018, Sugirtha2018, Kaur2020, Kamal2020, Pandian2020, Khanam2021, Yamin2022, Roque2022 
Skew correction	Calders1986, Mennens1993, Mennens1994, Hermida1996, Antonacopoulos2004, Mihara2005, Falcon2005, Al_SalmanAl_Rajih2007, Tai2008, Tai2010, Al_Salman2010, LiYanZhang2010, YinWangLi2010, Nian_Feng2011, Babadi2011, Hassen2012, Mousa2013, Al_Salman2014, Li2018, Shimomura2018, DeSilva2018, Shreekanth2018, Perera2018, LiLiu2019, Kamal2020, Hsu2020, Al_Salman2021, Yamin2022, Roque2022, Al_Salman2024
Static thresholding	Nitta1989, Ritchings1995, NgChakman1999, Morgavi2002, Wong2004, Namba2006, Abdelmonem2009, Al_SalmanAl_Rajih2007, Al_Shamma2011, Wajid2011, Zaghloul2011, Srinath2012, Hassen2012, Mousa2013, Taha2014, Kumar2014, Pandian2020, Khanam2021
Dynamic thresholding	Calders1986, Mennens1993, Mennens1994, Hentzschel1995, Hermida1996, Oyama1997, Antonacopoulos2004, Falcon2005, Mihara2005, Zhang2007, Al_SalmanAl_Rajih2007, Al_Saleh2008, Al_Salman2010, YinWangLi2010, Al_Saleh2011, Babadi2011, Nian_Feng2011, Al_Salman2012, Rupanagudi2014, Al_Salman2014, Subur2015, Shreekanth2015, Parvathi2015, Smelyakov2018, Li2018, DeSilva2018, Schwarz2018, Shreekanth2018, Perera2018, Sugirtha2018, Kamal2020, Kaur2020, Al_Salman2021, Yamin2022, Roque2022, Al_Salman2024
