Model Type,Training,Evaluation,Label,Character Accuracy,Dot Accuracy,Dot Recall,Dot Precision,Dot F1,Hamming Distance,Missclassification HD,Character Recall,Character Precision,Character F1
Multi-class,Adaptive-balance,ID Test,0,0.9868839933783268,0.9974532025977334,0.9975559725919784,0.9972078007067754,0.9973818562639089,0.015280784413599898,1.1650485436893203,0.9740821246192592,0.6428681243972293,0.9726726483307361
Multi-class,Adaptive-balance,ID Test,1,0.9875121634771327,0.9975132446751,0.9972393083740979,0.9983030303030302,0.9977708858305873,0.014920531949399934,1.1948051948051948,0.97322596202951,0.8178969525689881,0.9761959426680612
Multi-class,Adaptive-balance,ID Test,2,0.9898173105720276,0.9979534790855545,0.9979716024340771,0.9984887084934583,0.9982300884955753,0.012279125486672657,1.2058823529411764,0.9862297596477668,0.6957085989874031,0.9599840338728359
Multi-class,Adaptive-balance,ID Test,3,0.9864253393665159,0.9971864485439146,0.9967514889009204,0.9984715511290799,0.9976107785906055,0.016881308736512356,1.2435897435897436,0.9841464234038153,0.6710862084493027,0.9468187464586564
Multi-class,Adaptive-balance,ID Test,4,0.9852872123963061,0.9970522251786925,0.9967369823980882,0.998067188219052,0.9974016417944768,0.017686648927844734,1.202127659574468,0.9825307290763775,0.698066453734244,0.9548405477435433
Multi-class,Adaptive-balance,ID Test,5,0.9847936278059377,0.9964397779386918,0.9954408769036764,0.9988320031146584,0.997133556818734,0.021361332367849383,1.4047619047619047,0.9790435240507708,0.6714768569250404,0.963816253881007
Multi-label,Adaptive-balance,ID Test,0,0.9871386731185534,0.9976442124029034,0.9970758957796884,0.9980777632153779,0.9975765779534091,0.014134725582579905,1.099009900990099,0.9696587902449139,0.6349583141460761,0.9744355895218433
Multi-label,Adaptive-balance,ID Test,1,0.98880960103795,0.9979186939128555,0.9972393083740979,0.9990295972828724,0.9981336500472646,0.012487836522867337,1.1159420289855073,0.9860883010085248,0.7525393574447894,0.9816280592176578
Multi-label,Adaptive-balance,ID Test,2,0.9871218927822701,0.9976040730757711,0.9968495101635665,0.9990052333376584,0.9979262075520609,0.014375561545372867,1.1162790697674418,0.9646922042126843,0.6710839147075364,0.9391970307200205
Multi-label,Adaptive-balance,ID Test,3,0.9859032370344587,0.9971864485439146,0.996456169710095,0.998766650222003,0.9976100721906029,0.016881308736512356,1.1975308641975309,0.9644793277421957,0.5817495312993097,0.9431851581830653
Multi-label,Adaptive-balance,ID Test,4,0.984974174362185,0.9971043981843793,0.9962314444597637,0.9986639638809546,0.9974462210974347,0.017373610893723586,1.15625,0.9645441752538711,0.6639301245920586,0.9430243313256192
Multi-label,Adaptive-balance,ID Test,5,0.9858797972483707,0.9969828626599083,0.9960228926181007,0.9991242580519607,0.9975711648693286,0.018102824040550327,1.2820512820512822,0.9722005867916307,0.7354710038010408,0.9482373148677647
Multi-class,Adaptive-balance,OOD Test,0,0.9541024115682057,0.9910462331640202,0.9969224907308352,0.9860271629632851,0.9914448946279184,0.05372260101587883,1.1704885343968097,0.9526047825088862,0.5950063995506994,0.9352521964045213
Multi-class,Adaptive-balance,OOD Test,1,0.9601146079679825,0.9925489661027227,0.99742529571236,0.987805609719514,0.9925921460168655,0.044706203383663816,1.120866590649943,0.9578285710320915,0.854907480815801,0.9423351604680694
Multi-class,Adaptive-balance,OOD Test,2,0.9535222251104757,0.9908066891950438,0.998146962703413,0.984203445011046,0.9911261656839376,0.055159864829737455,1.186800894854586,0.9531621662693064,0.8035329019472907,0.935998441640817
Multi-class,Adaptive-balance,OOD Test,3,0.9518913569386409,0.9908364489406934,0.9968756299133239,0.9864694148936171,0.9916452227383619,0.05498130635583901,1.1428571428571428,0.9359639155463528,0.5627023728616444,0.9195545252496653
Multi-class,Adaptive-balance,OOD Test,4,0.9621138211382114,0.9924254742547426,0.9967747715463179,0.9879239921861126,0.9923296468069925,0.045447154471544716,1.1995708154506437,0.9551821482691756,0.5635376789132046,0.9406387358439117
Multi-class,Adaptive-balance,OOD Test,5,0.9501630468221252,0.9903915174634427,0.9963953139080806,0.9861567906051991,0.9912496147775982,0.05765089521934412,1.15679012345679,0.9311861810950754,0.5496917609056916,0.9117073799541414
Multi-label,Adaptive-balance,OOD Test,0,0.981970438841349,0.9967738983205967,0.9980655656022392,0.9957453652260366,0.9969041154040386,0.019356610076419714,1.0736040609137056,0.9817098746148443,0.5908174479090269,0.9799867761238652
Multi-label,Adaptive-balance,OOD Test,1,0.9824904493360015,0.9969225638226912,0.9983340148727036,0.9955295787836226,0.9969298245614037,0.018464617063853012,1.0545454545454545,0.9831625430918038,0.8427609048517337,0.978601036358385
Multi-label,Adaptive-balance,OOD Test,2,0.9734858331167143,0.9952863703318603,0.9981301169098076,0.9927451243214261,0.9954303378525948,0.028281778008838056,1.0666666666666667,0.9775006390672851,0.7965773111662591,0.9736655569917557
Multi-label,Adaptive-balance,OOD Test,3,0.9799318231801187,0.9964628692911077,0.9977491097225022,0.9957753562447611,0.9967612558943465,0.02122278425335386,1.0575342465753426,0.9648024161012478,0.6207286655426717,0.9548065267785111
Multi-label,Adaptive-balance,OOD Test,4,0.9786178861788618,0.9961314363143632,0.9977395834769065,0.9944090334633771,0.9960715243998927,0.02321138211382114,1.085551330798479,0.9795965084126512,0.6081566115079177,0.9740915766168112
Multi-label,Adaptive-balance,OOD Test,5,0.9859718205869685,0.9975286613753358,0.9981225593271252,0.9973548447612794,0.9977385543638394,0.014828031747984987,1.0570175438596492,0.970156893461309,0.6813554932184688,0.9614620237306953
Multi-class,Baseline,ID Test,0,0.955558385330447,0.9904495097415,0.9835464583424257,0.9967711973108054,0.9901146698299723,0.05730294155099962,1.2893982808022924,0.8110781475371107,0.7297244689573856,0.9249860203055973
Multi-class,Baseline,ID Test,1,0.9429127473240351,0.987295923883663,0.984210781227297,0.9929635963840704,0.9885678147499514,0.07622445669802141,1.3352272727272727,0.807604691092359,0.6545521127123565,0.8977502019033666
Multi-class,Baseline,ID Test,2,0.9421982629529799,0.9871967654986523,0.9814423201415563,0.9963634770417105,0.9888466137623655,0.07681940700808626,1.3290155440414508,0.8236361686930708,0.5246448656434949,0.8976874483756011
Multi-class,Baseline,ID Test,3,0.9570135746606335,0.9895579533588583,0.9844957424816656,0.9977552751035068,0.9910811614309781,0.06265227984684998,1.45748987854251,0.8319968565604563,0.6426811034006487,0.9065716930166821
Multi-class,Baseline,ID Test,4,0.9499139145406167,0.9882871602233004,0.9833172480352957,0.9959966483567638,0.9896163363474481,0.07027703866019722,1.403125,0.7988625814796182,0.57663401354556,0.8947859844622293
Multi-class,Baseline,ID Test,5,0.9123823316437364,0.9793024378469708,0.971093219516927,0.9955250596658711,0.9831573778541616,0.12418537291817523,1.4173553719008265,0.7397425369893942,0.5129037492437484,0.8766724250239227
Multi-label,Baseline,ID Test,0,0.9835731567553802,0.9970287363640222,0.9946318683716667,0.9992546148112421,0.9969378827646543,0.017827581815866547,1.0852713178294573,0.9377048340303943,0.7120625723634354,0.9218057403732461
Multi-label,Baseline,ID Test,1,0.9798897178073305,0.99626986701265,0.9945270499346152,0.9987839875480324,0.9966509731592487,0.0223807979240999,1.1129032258064515,0.9525413217404084,0.6576837310534518,0.9345212502526316
Multi-label,Baseline,ID Test,2,0.9808325846061695,0.9963811520415294,0.9944326960424669,0.9993060976667534,0.9968634406973979,0.0217130877508236,1.1328125,0.9517122244103434,0.5363170138297665,0.9400669356284936
Multi-label,Baseline,ID Test,3,0.9808562478245736,0.9962292609351433,0.994388935374317,0.9992086651169692,0.9967929741464376,0.02262443438914027,1.1818181818181819,0.9570965291387652,0.5735576292523686,0.9085854585699518
Multi-label,Baseline,ID Test,4,0.9802786038503678,0.9961913705848594,0.9943012086952525,0.9989841621646581,0.9966371844481299,0.022851776490843637,1.1587301587301588,0.95128632027603,0.6333085123241092,0.9224903522248188
Multi-label,Baseline,ID Test,5,0.9706734250543084,0.9939657253198165,0.9912697642836357,0.9990223873301398,0.9951309767260688,0.036205648081100654,1.2345679012345678,0.9371231932924692,0.5598672195133823,0.9000561363602212
Multi-class,Baseline,OOD Test,0,0.812977623209628,0.964878963986638,0.9476237232000234,0.9843060249033397,0.9656166234852276,0.21072621608017206,1.1267433325177392,0.7420193373150098,0.5846352598529742,0.7698291209550993
Multi-class,Baseline,OOD Test,1,0.8328179006730945,0.9691119398459765,0.9630302754933587,0.9749463354799142,0.9689516712762959,0.18532836092414043,1.1085418933623503,0.7954702303380904,0.5865906859973341,0.78316970801334
Multi-class,Baseline,OOD Test,2,0.6999740057187419,0.9436270687115501,0.960631380344328,0.9318724057914175,0.9460333786787885,0.33823758773069923,1.1273609426442557,0.7470705834060699,0.4967554966051204,0.7175863000679921
Multi-class,Baseline,OOD Test,3,0.7795799428194414,0.9614397771424382,0.9683531546059262,0.9612485826719136,0.9647877895300575,0.23136133714537058,1.0496383137939636,0.7665289142601641,0.6495485057663722,0.7723071830834316
Multi-class,Baseline,OOD Test,4,0.7285772357723578,0.9524119241192411,0.9728336526401389,0.9331923051497323,0.952600750398143,0.28552845528455284,1.0519694473565973,0.7632101028909563,0.6320080990266747,0.7964337279688933
Multi-class,Baseline,OOD Test,5,0.6948255706638774,0.9422978321950819,0.9225180234304596,0.9703773920255939,0.9458426771638386,0.3462130068295084,1.134475806451613,0.6729981983311382,0.4672541936755311,0.7225912903992577
Multi-label,Baseline,OOD Test,0,0.9719031711893104,0.9951417806860996,0.9936105045649721,0.9970442045822182,0.9953243931620168,0.029149315883402735,1.0374592833876222,0.9575215716715045,0.8355019078788819,0.9606961769837012
Multi-label,Baseline,OOD Test,1,0.961069674367837,0.9932387362803954,0.9951383524921623,0.9913846432397363,0.9932579513846899,0.0405675823176278,1.0420560747663552,0.9560771035600506,0.7412929582867356,0.9514142845849576
Multi-label,Baseline,OOD Test,2,0.9245645957889265,0.9863356728186465,0.9940028974765002,0.9797267006492105,0.9868131684352239,0.08198596308812062,1.0868366643694005,0.9308110560620211,0.5343173679314512,0.9286437109309431
