Model Type,Training,Evaluation,Class,Character Accuracy,Dot Accuracy,Dot Recall,Dot Precision,Dot F1,Hamming Distance,Missclassification HD,Character Recall,Character Precision,Character F1
Multi-class,Adaptive-balance,ID Test,0,,,,,,,,,,
Multi-class,Adaptive-balance,ID Test,1,0.9924568965517241,0.9976652298850575,0.9989224137931034,0.987220447284345,0.9930369576861273,0.014008620689655173,1.8571428571428572,0.9924568965517241,0.9956756756756757,0.9940636805180787
Multi-class,Adaptive-balance,ID Test,2,0.9801587301587301,0.996031746031746,1.0,0.9767441860465116,0.988235294117647,0.023809523809523808,1.2,0.9801587301587301,0.95,0.96484375
Multi-class,Adaptive-balance,ID Test,3,0.9398148148148148,0.9891975308641975,0.9837962962962963,0.9837962962962963,0.9837962962962963,0.06481481481481481,1.0769230769230769,0.9398148148148148,0.9902439024390244,0.9643705463182897
Multi-class,Adaptive-balance,ID Test,4,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.75,0.8571428571428571
Multi-class,Adaptive-balance,ID Test,5,0.9883495145631068,0.9980582524271845,0.9980582524271845,0.9961240310077519,0.997090203685742,0.011650485436893204,1.0,0.9883495145631068,0.9980392156862745,0.9931707317073171
Multi-class,Adaptive-balance,ID Test,6,,,,,,,,,0.0,
Multi-class,Adaptive-balance,ID Test,7,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.9837728194726166,0.9918200408997956
Multi-class,Adaptive-balance,ID Test,8,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.5,0.6666666666666666
Multi-class,Adaptive-balance,ID Test,9,0.9726027397260274,0.9954337899543378,0.9931506849315068,0.9931506849315068,0.9931506849315068,0.0273972602739726,1.0,0.9726027397260274,0.9726027397260274,0.9726027397260274
Multi-class,Adaptive-balance,ID Test,10,0.9878213802435724,0.9979702300405954,0.996617050067659,0.997291807718348,0.9969543147208122,0.012178619756427604,1.0,0.9878213802435724,0.9972677595628415,0.9925220938137321
Multi-class,Adaptive-balance,ID Test,11,0.875,0.9739583333333334,0.96875,0.9789473684210527,0.9738219895287958,0.15625,1.25,0.875,1.0,0.9333333333333333
Multi-class,Adaptive-balance,ID Test,12,,,,,,,,,,
Multi-class,Adaptive-balance,ID Test,13,0.9793510324483776,0.9965585054080629,0.9980334316617503,0.9950980392156863,0.9965635738831615,0.02064896755162242,1.0,0.9793510324483776,0.991044776119403,0.9851632047477745
Multi-class,Adaptive-balance,ID Test,14,0.996,0.9993333333333333,1.0,0.9986684420772304,0.999333777481679,0.004,1.0,0.996,0.9940119760479041,0.995004995004995
Multi-class,Adaptive-balance,ID Test,15,0.9968553459119497,0.999475890985325,0.9992138364779874,1.0,0.9996067636649627,0.0031446540880503146,1.0,0.9968553459119497,0.9814241486068112,0.9890795631825273
Multi-class,Adaptive-balance,ID Test,16,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.5,0.6666666666666666
Multi-class,Adaptive-balance,ID Test,17,0.9870740305522914,0.9978456717587152,0.9982373678025852,0.9953134153485648,0.9967732472865942,0.012925969447708578,1.0,0.9870740305522914,0.99644128113879,0.9917355371900826
Multi-class,Adaptive-balance,ID Test,18,0.9861111111111112,0.9976851851851852,1.0,0.993103448275862,0.9965397923875432,0.013888888888888888,1.0,0.9861111111111112,0.9403973509933775,0.9627118644067797
Multi-class,Adaptive-balance,ID Test,19,0.9444444444444444,0.9907407407407407,0.9907407407407407,0.9907407407407407,0.9907407407407407,0.05555555555555555,1.0,0.9444444444444444,0.9714285714285714,0.9577464788732395
Multi-class,Adaptive-balance,ID Test,20,,,,,,,,,0.0,
Multi-class,Adaptive-balance,ID Test,21,0.9883040935672515,0.9980506822612085,0.9996751137102015,0.9964378238341969,0.9980538436587739,0.011695906432748537,1.0,0.9883040935672515,0.9931439764936337,0.9907181240840254
Multi-class,Adaptive-balance,ID Test,22,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.921875,0.959349593495935
Multi-class,Adaptive-balance,ID Test,23,0.9933920704845814,0.9981644640234949,0.9977973568281938,0.9994484280198566,0.9986222099751997,0.011013215859030838,1.6666666666666667,0.9933920704845814,0.9761904761904762,0.9847161572052401
Multi-class,Adaptive-balance,ID Test,24,0.9887640449438202,0.99812734082397,0.9943820224719101,1.0,0.9971830985915493,0.011235955056179775,1.0,0.9887640449438202,0.946236559139785,0.967032967032967
Multi-class,Adaptive-balance,ID Test,25,0.9719101123595506,0.9948501872659176,0.9925093632958801,0.9971777986829727,0.9948381041764429,0.03089887640449438,1.1,0.9719101123595506,0.9971181556195965,0.984352773826458
Multi-class,Adaptive-balance,ID Test,26,0.9791666666666666,0.9965277777777778,0.9953703703703703,0.9976798143851509,0.996523754345307,0.020833333333333332,1.0,0.9791666666666666,0.986013986013986,0.9825783972125435
Multi-class,Adaptive-balance,ID Test,27,0.990909090909091,0.996969696969697,0.9965909090909091,0.9988610478359908,0.9977246871444823,0.01818181818181818,2.0,0.990909090909091,0.9954337899543378,0.9931662870159453
Multi-class,Adaptive-balance,ID Test,28,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.8888888888888888,0.9411764705882353
Multi-class,Adaptive-balance,ID Test,29,0.9901153212520593,0.9983525535420099,0.999176276771005,0.9983539094650206,0.9987649238369699,0.009884678747940691,1.0,0.9901153212520593,0.9933884297520661,0.9917491749174917
Multi-class,Adaptive-balance,ID Test,30,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.9920886075949367,0.9960285941223193
Multi-class,Adaptive-balance,ID Test,31,0.9803921568627451,0.9967320261437909,0.996078431372549,1.0,0.9980353634577603,0.0196078431372549,1.0,0.9803921568627451,0.967741935483871,0.9740259740259739
Multi-class,Adaptive-balance,ID Test,32,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0
Multi-class,Adaptive-balance,ID Test,33,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.9583333333333334,0.9787234042553191
Multi-class,Adaptive-balance,ID Test,34,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0
Multi-class,Adaptive-balance,ID Test,35,0.75,0.9583333333333334,1.0,0.9230769230769231,0.9600000000000001,0.25,1.0,0.75,1.0,0.8571428571428571
Multi-class,Adaptive-balance,ID Test,36,0.9931972789115646,0.9988662131519275,1.0,0.9966101694915255,0.99830220713073,0.006802721088435374,1.0,0.9931972789115646,0.9864864864864865,0.9898305084745763
Multi-class,Adaptive-balance,ID Test,37,0.996969696969697,0.9994949494949495,0.998989898989899,1.0,0.9994946942900456,0.0030303030303030303,1.0,0.996969696969697,1.0,0.9984825493171471
Multi-class,Adaptive-balance,ID Test,38,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.92,0.9583333333333334
Multi-class,Adaptive-balance,ID Test,39,,,,,,,,,0.0,
Multi-class,Adaptive-balance,ID Test,40,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0
Multi-class,Adaptive-balance,ID Test,41,,,,,,,,,,
Multi-class,Adaptive-balance,ID Test,42,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.8461538461538461,0.9166666666666666
Multi-class,Adaptive-balance,ID Test,43,0.996,0.9993333333333333,0.999,1.0,0.9994997498749374,0.004,1.0,0.996,1.0,0.9979959919839679
Multi-class,Adaptive-balance,ID Test,44,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.5,0.6666666666666666
Multi-class,Adaptive-balance,ID Test,45,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.95,0.9743589743589743
Multi-class,Adaptive-balance,ID Test,46,0.9915966386554622,0.9985994397759104,1.0,0.9979035639412998,0.998950682056663,0.008403361344537815,1.0,0.9915966386554622,1.0,0.9957805907172996
Multi-class,Adaptive-balance,ID Test,47,0.9926470588235294,0.9950980392156863,0.9941176470588236,1.0,0.9970501474926253,0.029411764705882353,4.0,0.9926470588235294,0.9926470588235294,0.9926470588235294
Multi-class,Adaptive-balance,ID Test,48,,,,,,,,,0.0,
Multi-class,Adaptive-balance,ID Test,49,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.9880952380952381,0.9940119760479043
Multi-class,Adaptive-balance,ID Test,50,0.9839357429718876,0.9966532797858099,0.9946452476572959,0.9986559139784946,0.9966465459423206,0.020080321285140562,1.25,0.9839357429718876,0.9839357429718876,0.9839357429718876
Multi-class,Adaptive-balance,ID Test,51,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.9857142857142858,0.9928057553956835
Multi-class,Adaptive-balance,ID Test,52,0.9545454545454546,0.9924242424242424,0.9848484848484849,1.0,0.9923664122137404,0.045454545454545456,1.0,0.9545454545454546,1.0,0.9767441860465117
Multi-class,Adaptive-balance,ID Test,53,0.9842931937172775,0.9965095986038395,0.9960732984293194,0.9986876640419947,0.9973787680209699,0.020942408376963352,1.3333333333333333,0.9842931937172775,0.9894736842105263,0.9868766404199475
Multi-class,Adaptive-balance,ID Test,54,0.918918918918919,0.9864864864864865,0.9797297297297297,1.0,0.9897610921501706,0.08108108108108109,1.0,0.918918918918919,0.9714285714285714,0.9444444444444445
Multi-class,Adaptive-balance,ID Test,55,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.9411764705882353,0.9696969696969697
Multi-class,Adaptive-balance,ID Test,56,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.631578947368421,0.7741935483870968
Multi-class,Adaptive-balance,ID Test,57,,,,,,,,,,
Multi-class,Adaptive-balance,ID Test,58,0.9816091954022989,0.9954022988505747,0.9942528735632183,0.9988452655889145,0.9965437788018433,0.027586206896551724,1.5,0.9816091954022989,1.0,0.9907192575406032
Multi-class,Adaptive-balance,ID Test,59,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0
Multi-class,Adaptive-balance,ID Test,60,0.9375,0.9826388888888888,0.9791666666666666,0.9947089947089947,0.9868766404199474,0.10416666666666667,1.6666666666666667,0.9375,0.994475138121547,0.9651474530831098
Multi-class,Adaptive-balance,ID Test,61,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.6666666666666666,0.8
Multi-class,Adaptive-balance,ID Test,62,0.9945054945054945,0.9990842490842491,0.9989010989010989,1.0,0.999450247388675,0.005494505494505495,1.0,0.9945054945054945,0.9783783783783784,0.9863760217983651
Multi-class,Adaptive-balance,ID Test,63,0.9375,0.9895833333333334,0.9895833333333334,1.0,0.9947643979057591,0.0625,1.0,0.9375,1.0,0.967741935483871
Multi-label,Adaptive-balance,ID Test,0,,,,,,,,,,
Multi-label,Adaptive-balance,ID Test,1,0.9881465517241379,0.9974856321839081,0.9989224137931034,0.9861702127659574,0.9925053533190576,0.015086206896551725,1.2727272727272727,0.9881465517241379,0.9989106753812637,0.9934994582881906
Multi-label,Adaptive-balance,ID Test,2,0.9722222222222222,0.9947089947089947,1.0,0.9692307692307692,0.9843749999999999,0.031746031746031744,1.1428571428571428,0.9722222222222222,0.9760956175298805,0.974155069582505
Multi-label,Adaptive-balance,ID Test,3,0.9675925925925926,0.9938271604938271,0.9884259259259259,0.9930232558139535,0.9907192575406032,0.037037037037037035,1.1428571428571428,0.9675925925925926,0.9631336405529954,0.9653579676674365
Multi-label,Adaptive-balance,ID Test,4,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.75,0.8571428571428571
Multi-label,Adaptive-balance,ID Test,5,0.9941747572815534,0.9990291262135922,0.9990291262135922,0.9980601357904947,0.9985443959243087,0.005825242718446602,1.0,0.9941747572815534,0.9903288201160542,0.9922480620155038
Multi-label,Adaptive-balance,ID Test,6,,,,,,,,,0.0,
Multi-label,Adaptive-balance,ID Test,7,0.9958762886597938,0.9993127147766323,0.9986254295532646,1.0,0.9993122420907841,0.004123711340206186,1.0,0.9958762886597938,0.9897540983606558,0.9928057553956835
Multi-label,Adaptive-balance,ID Test,8,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.8,0.888888888888889
Multi-label,Adaptive-balance,ID Test,9,0.9863013698630136,0.997716894977169,1.0,0.9931972789115646,0.9965870307167235,0.0136986301369863,1.0,0.9863013698630136,0.972972972972973,0.979591836734694
Multi-label,Adaptive-balance,ID Test,10,0.993234100135318,0.998872350022553,0.9993234100135318,0.9972991222147198,0.9983102399459276,0.006765899864682003,1.0,0.993234100135318,0.9959294436906377,0.994579945799458
Multi-label,Adaptive-balance,ID Test,11,0.9375,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.0625,1.0,0.9375,1.0,0.967741935483871
Multi-label,Adaptive-balance,ID Test,12,,,,,,,,,,
Multi-label,Adaptive-balance,ID Test,13,0.9852507374631269,0.9975417895771878,0.9970501474926253,0.9980314960629921,0.9975405804230201,0.014749262536873156,1.0,0.9852507374631269,0.9940476190476191,0.9896296296296296
Multi-label,Adaptive-balance,ID Test,14,0.998,0.9996666666666667,0.9993333333333333,1.0,0.9996665555185061,0.002,1.0,0.998,0.9900793650793651,0.9940239043824701
Multi-label,Adaptive-balance,ID Test,15,0.9874213836477987,0.9979035639412998,0.9968553459119497,1.0,0.9984251968503937,0.012578616352201259,1.0,0.9874213836477987,0.9936708860759493,0.9905362776025236
Multi-label,Adaptive-balance,ID Test,16,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.4444444444444444,0.6153846153846153
Multi-label,Adaptive-balance,ID Test,17,0.9905992949471211,0.9984332158245202,0.9988249118683902,0.9964830011723329,0.9976525821596245,0.009400705052878966,1.0,0.9905992949471211,0.9988151658767772,0.9946902654867257
Multi-label,Adaptive-balance,ID Test,18,0.9861111111111112,0.9976851851851852,1.0,0.993103448275862,0.9965397923875432,0.013888888888888888,1.0,0.9861111111111112,0.9403973509933775,0.9627118644067797
Multi-label,Adaptive-balance,ID Test,19,0.9814814814814815,0.9969135802469136,0.9938271604938271,1.0,0.9969040247678018,0.018518518518518517,1.0,0.9814814814814815,0.9380530973451328,0.9592760180995475
Multi-label,Adaptive-balance,ID Test,20,,,,,,,,,0.0,
Multi-label,Adaptive-balance,ID Test,21,0.9892787524366472,0.9982131254061078,0.99772579597141,0.9986991869918699,0.9982122541849504,0.010721247563352826,1.0,0.9892787524366472,0.9902439024390244,0.9897610921501706
Multi-label,Adaptive-balance,ID Test,22,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.8676470588235294,0.9291338582677166
Multi-label,Adaptive-balance,ID Test,23,0.9823788546255506,0.9970631424375918,0.9955947136563876,1.0,0.9977924944812362,0.01762114537444934,1.0,0.9823788546255506,0.9911111111111112,0.9867256637168141
Multi-label,Adaptive-balance,ID Test,24,0.9550561797752809,0.9925093632958801,0.9831460674157303,0.9943181818181818,0.9887005649717514,0.0449438202247191,1.0,0.9550561797752809,1.0,0.9770114942528736
