Evaluation,Resampling Scenario,Model,Class Accuracy,Class Recall,Class Precision,Class F1,Label Accuracy,Label Recall,Label Precision,Label F1,Mean Error
In-distribution,No Resampling,Multiclass,0.9526464713715047,0.8308988256963976,0.9309450064061925,0.89948804209828,0.989611074123391,0.9801889663981909,0.9945696072558553,0.9872166570503046,1.3163444639718804
DSBI,No Resampling,Multiclass,0.7208012799438929,0.7494158316735737,0.8054704523373172,0.7278873167822503,0.9497592799585041,0.9567091211570403,0.9356014508289583,0.942384453133196,1.0796765837192872
BCD,No Resampling,Multiclass,0.5314102564102564,0.5314102564102564,0.3803408404422428,0.5823740229601788,0.8141025641025641,0.7215099715099714,0.8827685099011626,0.7918936554785052,2.3803009575923393
ABC,No Resampling,Multiclass,0.2803030303030303,0.2753339850114044,0.32698281314164784,0.3270767936758383,0.7391098484848485,0.6265692446085775,0.8581997249091224,0.716857172919981,2.175
Braille37,No Resampling,Multiclass,0.6792015159435442,0.6595338736375641,0.5812408982526139,0.6774273208965296,0.9205055323227043,0.847581901462709,0.9642721523936929,0.8939134942739666,1.4868112842448316
In-distribution,Class Resampled,Multiclass,0.9863515312916112,0.9621483614136154,0.8922737330009867,0.9559791063941206,0.9972814025743453,0.997126160914522,0.9966549031537584,0.9968890361036982,1.1951219512195121
DSBI,Class Resampled,Multiclass,0.9444188747890503,0.9498176928009708,0.9144002159675022,0.924601965321535,0.9898488468085417,0.9988397524681468,0.9774394477021007,0.9879005767391892,1.095820189274448
BCD,Class Resampled,Multiclass,0.16794871794871793,0.16794871794871793,0.3131386573147136,0.23591069618206376,0.6161324786324787,0.7282488807488807,0.617261099998533,0.6527264148945976,2.768104776579353
ABC,Class Resampled,Multiclass,0.41887626262626265,0.41821440208536986,0.3892346295652977,0.5091002895966968,0.7822495791245792,0.7273281174632146,0.8708327686889095,0.7911674879790432,2.2482346550787615
Braille37,Class Resampled,Multiclass,0.8525548876110821,0.8346935254154089,0.5191197567970398,0.8720132350435307,0.9615351106464541,0.9513183929503173,0.962294033627623,0.9565584244520048,1.5652559273210724
In-distribution,Label Resampled,Multiclass,0.9816910785619174,0.9626191944134799,0.875006305106996,0.9547377195735632,0.996199511762095,0.9957770271585163,0.9956747139109549,0.9957225781794392,1.2454545454545454
DSBI,Label Resampled,Multiclass,0.910886098143643,0.918343852412175,0.8759528165690913,0.8774394522723862,0.9808958146126928,0.9879704915921471,0.9690344842857704,0.978269563383635,1.2862764387604526
