Evaluation,Resampling Scenario,Model,Class,Class Recall,Class Precision,Class F1
In-distribution,No Resampling,Multiclass,0,,,
In-distribution,No Resampling,Multiclass,1,0.9935344827586207,0.9294354838709677,0.9604166666666666
In-distribution,No Resampling,Multiclass,2,0.9087301587301587,0.9662447257383966,0.9366053169734152
In-distribution,No Resampling,Multiclass,3,0.9305555555555556,0.9054054054054054,0.9178082191780821
In-distribution,No Resampling,Multiclass,4,1.0,1.0,1.0
In-distribution,No Resampling,Multiclass,5,0.9592233009708738,0.9536679536679536,0.9564375605033882
In-distribution,No Resampling,Multiclass,6,,,
In-distribution,No Resampling,Multiclass,7,0.9092783505154639,0.9910112359550561,0.9483870967741935
In-distribution,No Resampling,Multiclass,8,1.0,0.5714285714285714,0.7272727272727273
In-distribution,No Resampling,Multiclass,9,0.8904109589041096,0.9420289855072463,0.9154929577464788
In-distribution,No Resampling,Multiclass,10,0.9891745602165088,0.917189460476788,0.9518229166666666
In-distribution,No Resampling,Multiclass,11,0.90625,0.8529411764705882,0.8787878787878787
In-distribution,No Resampling,Multiclass,12,,,
In-distribution,No Resampling,Multiclass,13,0.9793510324483776,0.9651162790697675,0.9721815519765741
In-distribution,No Resampling,Multiclass,14,0.958,0.9676767676767677,0.9628140703517588
In-distribution,No Resampling,Multiclass,15,0.9811320754716981,0.8939828080229226,0.9355322338830585
In-distribution,No Resampling,Multiclass,16,0.75,1.0,0.8571428571428571
In-distribution,No Resampling,Multiclass,17,0.9870740305522914,0.9459459459459459,0.9660724554341575
In-distribution,No Resampling,Multiclass,18,0.9097222222222222,0.9632352941176471,0.9357142857142857
In-distribution,No Resampling,Multiclass,19,0.9259259259259259,0.9174311926605505,0.9216589861751153
In-distribution,No Resampling,Multiclass,20,,,
In-distribution,No Resampling,Multiclass,21,0.9824561403508771,0.96,0.9710982658959537
In-distribution,No Resampling,Multiclass,22,0.847457627118644,0.9259259259259259,0.8849557522123893
In-distribution,No Resampling,Multiclass,23,0.9449339207048458,0.975,0.9597315436241611
In-distribution,No Resampling,Multiclass,24,0.9550561797752809,0.9139784946236559,0.934065934065934
In-distribution,No Resampling,Multiclass,25,0.9691011235955056,0.9691011235955056,0.9691011235955056
In-distribution,No Resampling,Multiclass,26,0.9375,0.9574468085106383,0.9473684210526315
In-distribution,No Resampling,Multiclass,27,0.9681818181818181,0.8801652892561983,0.922077922077922
In-distribution,No Resampling,Multiclass,28,0.375,1.0,0.5454545454545454
In-distribution,No Resampling,Multiclass,29,0.9637561779242174,0.9815436241610739,0.9725685785536159
In-distribution,No Resampling,Multiclass,30,0.9872408293460925,0.9641744548286605,0.975571315996848
In-distribution,No Resampling,Multiclass,31,0.9084967320261438,0.9788732394366197,0.9423728813559321
In-distribution,No Resampling,Multiclass,32,0.8666666666666667,1.0,0.9285714285714286
In-distribution,No Resampling,Multiclass,33,0.6956521739130435,0.8421052631578947,0.761904761904762
In-distribution,No Resampling,Multiclass,34,0.8125,1.0,0.896551724137931
In-distribution,No Resampling,Multiclass,35,0.0,,
In-distribution,No Resampling,Multiclass,36,1.0,0.9607843137254902,0.98
In-distribution,No Resampling,Multiclass,37,0.9333333333333333,0.9967637540453075,0.9640062597809077
In-distribution,No Resampling,Multiclass,38,0.6956521739130435,1.0,0.8205128205128205
In-distribution,No Resampling,Multiclass,39,,0.0,
In-distribution,No Resampling,Multiclass,40,1.0,0.9090909090909091,0.9523809523809523
In-distribution,No Resampling,Multiclass,41,,,
In-distribution,No Resampling,Multiclass,42,0.2727272727272727,1.0,0.42857142857142855
In-distribution,No Resampling,Multiclass,43,0.984,0.9723320158102767,0.978131212723658
In-distribution,No Resampling,Multiclass,44,1.0,1.0,1.0
In-distribution,No Resampling,Multiclass,45,0.8421052631578947,0.8888888888888888,0.8648648648648649
In-distribution,No Resampling,Multiclass,46,0.9285714285714286,0.9608695652173913,0.9444444444444444
In-distribution,No Resampling,Multiclass,47,0.9264705882352942,0.9921259842519685,0.9581749049429659
In-distribution,No Resampling,Multiclass,48,,,
In-distribution,No Resampling,Multiclass,49,0.9156626506024096,0.9156626506024096,0.9156626506024096
In-distribution,No Resampling,Multiclass,50,0.9879518072289156,0.9498069498069498,0.968503937007874
In-distribution,No Resampling,Multiclass,51,0.9420289855072463,0.9701492537313433,0.9558823529411764
In-distribution,No Resampling,Multiclass,52,0.5,1.0,0.6666666666666666
In-distribution,No Resampling,Multiclass,53,0.8115183246073299,1.0,0.8959537572254336
In-distribution,No Resampling,Multiclass,54,0.5675675675675675,1.0,0.7241379310344828
In-distribution,No Resampling,Multiclass,55,0.625,1.0,0.7692307692307693
In-distribution,No Resampling,Multiclass,56,1.0,0.9230769230769231,0.9600000000000001
In-distribution,No Resampling,Multiclass,57,,,
In-distribution,No Resampling,Multiclass,58,0.9701149425287356,0.9768518518518519,0.9734717416378317
In-distribution,No Resampling,Multiclass,59,0.0,,
In-distribution,No Resampling,Multiclass,60,0.9322916666666666,0.8905472636815921,0.9109414758269719
In-distribution,No Resampling,Multiclass,61,0.0,,
In-distribution,No Resampling,Multiclass,62,0.8571428571428571,0.9936305732484076,0.9203539823008849
In-distribution,No Resampling,Multiclass,63,0.6458333333333334,0.9393939393939394,0.7654320987654321
DSBI,No Resampling,Multiclass,0,,,
DSBI,No Resampling,Multiclass,1,0.9881925522252498,0.7371273712737128,0.8443927046953823
DSBI,No Resampling,Multiclass,2,0.8703703703703703,0.8798751950078003,0.8750969743987588
DSBI,No Resampling,Multiclass,3,0.9814487632508834,0.7416555407209613,0.8448669201520912
DSBI,No Resampling,Multiclass,4,0.48484848484848486,1.0,0.653061224489796
DSBI,No Resampling,Multiclass,5,0.9571639586410635,0.7074235807860262,0.8135593220338984
DSBI,No Resampling,Multiclass,6,0.497968659315148,0.9976744186046511,0.6643437862950058
DSBI,No Resampling,Multiclass,7,0.9385113268608414,0.6615969581749049,0.7760927743086531
DSBI,No Resampling,Multiclass,8,0.8778135048231511,0.8005865102639296,0.8374233128834355
DSBI,No Resampling,Multiclass,9,0.9241245136186771,0.7648953301127214,0.8370044052863436
DSBI,No Resampling,Multiclass,10,0.9981960312687913,0.7566089334548769,0.860772621208193
DSBI,No Resampling,Multiclass,11,0.9540372670807453,0.987146529562982,0.9703095388502843
DSBI,No Resampling,Multiclass,12,0.0022304832713754648,1.0,0.004451038575667656
DSBI,No Resampling,Multiclass,13,0.9875222816399287,0.28764278296988577,0.4455166867712103
DSBI,No Resampling,Multiclass,14,0.9776536312849162,0.28363047001620745,0.43969849246231146
DSBI,No Resampling,Multiclass,15,0.9838709677419355,0.8079470198675497,0.8872727272727272
DSBI,No Resampling,Multiclass,16,0.0,,
DSBI,No Resampling,Multiclass,17,0.9896142433234422,0.1497866606781945,0.26019114491905604
DSBI,No Resampling,Multiclass,18,0.9903173749327595,0.9674198633736206,0.9787347155768208
DSBI,No Resampling,Multiclass,19,0.9789140748550342,0.9567233384853169,0.9676915059927045
DSBI,No Resampling,Multiclass,20,0.11320754716981132,1.0,0.2033898305084746
DSBI,No Resampling,Multiclass,21,0.9672364672364673,0.4829302987197724,0.6442125237191652
DSBI,No Resampling,Multiclass,22,0.8423236514522822,0.9598108747044918,0.8972375690607736
DSBI,No Resampling,Multiclass,23,0.9414225941422594,0.6164383561643836,0.7450331125827814
DSBI,No Resampling,Multiclass,24,0.9745762711864406,0.3026315789473684,0.46184738955823296
DSBI,No Resampling,Multiclass,25,0.9895661724327293,0.8872476612506155,0.9356178608515057
DSBI,No Resampling,Multiclass,26,0.9625,0.9726315789473684,0.9675392670157068
DSBI,No Resampling,Multiclass,27,1.0,0.8559796437659033,0.9224019742253907
DSBI,No Resampling,Multiclass,28,0.6217948717948718,0.9872773536895675,0.7630285152409045
